day,hour,value
1,1,94
1,2,85
1,3,65
1,4,48
1,5,46
1,6,36
1,7,79
1,8,106
1,9,109
1,10,132
1,11,149
1,12,151
1,13,133
1,14,146
1,15,135
1,16,171
1,17,153
1,18,151
1,19,157
1,20,128
1,21,114
1,22,110
1,23,122
1,24,94
2,1,69
2,2,53
2,3,61
2,4,55
2,5,40
2,6,56
2,7,83
2,8,92
2,9,125
2,10,99
2,11,130
2,12,114
2,13,138
2,14,159
2,15,149
2,16,161
2,17,172
2,18,161
2,19,167
2,20,136
2,21,128
2,22,111
2,23,105
2,24,101
3,1,67
3,2,71
3,3,69
3,4,40
3,5,39
3,6,31
3,7,65
3,8,99
3,9,118
3,10,109
3,11,135
3,12,125
3,13,156
3,14,156
3,15,139
3,16,146
3,17,146
3,18,140
3,19,158
3,20,176
3,21,105
3,22,112
3,23,96
3,24,80
4,1,82
4,2,50
4,3,63
4,4,54
4,5,36
4,6,46
4,7,85
4,8,98
4,9,114
4,10,111
4,11,129
4,12,164
4,13,145
4,14,150
4,15,126
4,16,153
4,17,172
4,18,161
4,19,150
4,20,138
4,21,135
4,22,114
4,23,104
4,24,97
5,1,104
5,2,85
5,3,81
5,4,51
5,5,48
5,6,43
5,7,77
5,8,87
5,9,122
5,10,130
5,11,147
5,12,114
5,13,137
5,14,151
5,15,170
5,16,167
5,17,175
5,18,181
5,19,143
5,20,159
5,21,143
5,22,155
5,23,146
5,24,123
6,1,134
6,2,97
6,3,92
6,4,70
6,5,77
6,6,54
6,7,60
6,8,62
6,9,77
6,10,85
6,11,102
6,12,112
6,13,147
6,14,116
6,15,172
6,16,150
6,17,133
6,18,130
6,19,161
6,20,148
6,21,137
6,22,137
6,23,131
6,24,150
7,1,94
7,2,131
7,3,128
7,4,75
7,5,68
7,6,50
7,7,74
7,8,68
7,9,70
7,10,90
7,11,88
7,12,112
7,13,123
7,14,139
7,15,119
7,16,110
7,17,125
7,18,142
7,19,129
7,20,119
7,21,151
7,22,122
7,23,154
7,24,120
