day,hour,value
1,0,94
1,1,85
1,2,65
1,3,48
1,4,46
1,5,36
1,6,79
1,7,106
1,8,109
1,9,132
1,10,149
1,11,151
1,12,133
1,13,146
1,14,135
1,15,171
1,16,153
1,17,151
1,18,157
1,19,128
1,20,114
1,21,110
1,22,122
1,23,94
2,0,69
2,1,53
2,2,61
2,3,55
2,4,40
2,5,56
2,6,83
2,7,92
2,8,125
2,9,99
2,10,130
2,11,114
2,12,138
2,13,159
2,14,149
2,15,161
2,16,172
2,17,161
2,18,167
2,19,136
2,20,128
2,21,111
2,22,105
2,23,101
3,0,67
3,1,71
3,2,69
3,3,40
3,4,39
3,5,31
3,6,65
3,7,99
3,8,118
3,9,109
3,10,135
3,11,125
3,12,156
3,13,156
3,14,139
3,15,146
3,16,146
3,17,140
3,18,158
3,19,176
3,20,105
3,21,112
3,22,96
3,23,80
4,0,82
4,1,50
4,2,63
4,3,54
4,4,36
4,5,46
4,6,85
4,7,98
4,8,114
4,9,111
4,10,129
4,11,164
4,12,145
4,13,150
4,14,126
4,15,153
4,16,172
4,17,161
4,18,150
4,19,138
4,20,135
4,21,114
4,22,104
4,23,97
5,0,104
5,1,85
5,2,81
5,3,51
5,4,48
5,5,43
5,6,77
5,7,87
5,8,122
5,9,130
5,10,147
5,11,114
5,12,137
5,13,151
5,14,170
5,15,167
5,16,175
5,17,181
5,18,143
5,19,159
5,20,143
5,21,155
5,22,146
5,23,123
6,0,134
6,1,97
6,2,92
6,3,70
6,4,77
6,5,54
6,6,60
6,7,62
6,8,77
6,9,85
6,10,102
6,11,112
6,12,147
6,13,116
6,14,172
6,15,150
6,16,133
6,17,130
6,18,161
6,19,148
6,20,137
6,21,137
6,22,131
6,23,150
7,0,94
7,1,131
7,2,128
7,3,75
7,4,68
7,5,50
7,6,74
7,7,68
7,8,70
7,9,90
7,10,88
7,11,112
7,12,123
7,13,139
7,14,119
7,15,110
7,16,125
7,17,142
7,18,129
7,19,119
7,20,151
7,21,122
7,22,154
7,23,120
