day,hour,value
1,0,23
1,1,18
1,2,10
1,3,6
1,4,9
1,5,14
1,6,17
1,7,22
1,8,24
1,9,34
1,10,39
1,11,34
1,12,45
1,13,37
1,14,23
1,15,53
1,16,41
1,17,52
1,18,39
1,19,50
1,20,49
1,21,23
1,22,28
1,23,19
2,0,16
2,1,14
2,2,14
2,3,13
2,4,13
2,5,10
2,6,15
2,7,18
2,8,36
2,9,40
2,10,36
2,11,40
2,12,44
2,13,37
2,14,45
2,15,46
2,16,39
2,17,58
2,18,44
2,19,39
2,20,33
2,21,37
2,22,26
2,23,27
3,0,17
3,1,15
3,2,14
3,3,14
3,4,11
3,5,11
3,6,17
3,7,27
3,8,28
3,9,41
3,10,40
3,11,51
3,12,39
3,13,42
3,14,41
3,15,43
3,16,39
3,17,45
3,18,43
3,19,46
3,20,47
3,21,29
3,22,40
3,23,14
4,0,29
4,1,13
4,2,13
4,3,11
4,4,12
4,5,9
4,6,17
4,7,33
4,8,29
4,9,33
4,10,40
4,11,51
4,12,36
4,13,47
4,14,37
4,15,43
4,16,43
4,17,49
4,18,55
4,19,32
4,20,40
4,21,31
4,22,26
4,23,26
5,0,29
5,1,16
5,2,11
5,3,9
5,4,12
5,5,14
5,6,20
5,7,19
5,8,32
5,9,33
5,10,36
5,11,48
5,12,59
5,13,39
5,14,47
5,15,44
5,16,38
5,17,47
5,18,36
5,19,51
5,20,33
5,21,42
5,22,33
5,23,32
6,0,21
6,1,28
6,2,14
6,3,11
6,4,14
6,5,14
6,6,18
6,7,17
6,8,25
6,9,27
6,10,30
6,11,39
6,12,34
6,13,35
6,14,34
6,15,33
6,16,38
6,17,52
6,18,52
6,19,26
6,20,27
6,21,35
6,22,30
6,23,28
7,0,20
7,1,34
7,2,23
7,3,17
7,4,10
7,5,13
7,6,13
7,7,17
7,8,13
7,9,10
7,10,13
7,11,39
7,12,31
7,13,33
7,14,32
7,15,46
7,16,57
7,17,37
7,18,42
7,19,43
7,20,34
7,21,46
7,22,35
7,23,34
