day,hour,value
1,0,6
1,1,14
1,2,6
1,3,4
1,4,1
1,5,5
1,6,11
1,7,9
1,8,15
1,9,15
1,10,11
1,11,17
1,12,14
1,13,15
1,14,19
1,15,22
1,16,15
1,17,9
1,18,18
1,19,11
1,20,11
1,21,9
1,22,8
1,23,10
2,0,9
2,1,1
2,2,4
2,3,4
2,4,4
2,5,4
2,6,8
2,7,20
2,8,25
2,9,16
2,10,18
2,11,14
2,12,15
2,13,11
2,14,15
2,15,17
2,16,26
2,17,19
2,18,13
2,19,15
2,20,15
2,21,16
2,22,9
2,23,6
3,0,7
3,1,7
3,2,2
3,3,2
3,4,4
3,5,6
3,6,10
3,7,18
3,8,16
3,9,13
3,10,10
3,11,20
3,12,18
3,13,14
3,14,14
3,15,14
3,16,21
3,17,19
3,18,19
3,19,21
3,20,9
3,21,14
3,22,7
3,23,16
4,0,7
4,1,9
4,2,11
4,3,6
4,4,3
4,5,7
4,6,7
4,7,13
4,8,13
4,9,22
4,10,17
4,11,14
4,12,16
4,13,17
4,14,14
4,15,17
4,16,16
4,17,20
4,18,24
4,19,18
4,20,16
4,21,15
4,22,8
4,23,15
5,0,6
5,1,2
5,2,4
5,3,3
5,4,7
5,5,4
5,6,5
5,7,15
5,8,12
5,9,20
5,10,18
5,11,14
5,12,14
5,13,19
5,14,29
5,15,20
5,16,17
5,17,18
5,18,24
5,19,15
5,20,9
5,21,11
5,22,7
5,23,6
6,0,11
6,1,13
6,2,5
6,3,2
6,4,6
6,5,7
6,6,3
6,7,8
6,8,4
6,9,9
6,10,7
6,11,14
6,12,14
6,13,12
6,14,12
6,15,11
6,16,25
6,17,24
6,18,20
6,19,11
6,20,13
6,21,17
6,22,12
6,23,12
7,0,9
7,1,8
7,2,7
7,3,4
7,4,5
7,5,4
7,6,3
7,7,2
7,8,5
7,9,5
7,10,7
7,11,8
7,12,15
7,13,13
7,14,9
7,15,16
7,16,18
7,17,21
7,18,15
7,19,8
7,20,8
7,21,12
7,22,12
7,23,2
