day,hour,value
1,1,23
1,2,18
1,3,10
1,4,6
1,5,9
1,6,14
1,7,17
1,8,22
1,9,24
1,10,34
1,11,39
1,12,34
1,13,45
1,14,37
1,15,23
1,16,53
1,17,41
1,18,52
1,19,39
1,20,50
1,21,49
1,22,23
1,23,28
1,24,19
2,1,16
2,2,14
2,3,14
2,4,13
2,5,13
2,6,10
2,7,15
2,8,18
2,9,36
2,10,40
2,11,36
2,12,40
2,13,44
2,14,37
2,15,45
2,16,46
2,17,39
2,18,58
2,19,44
2,20,39
2,21,33
2,22,37
2,23,26
2,24,27
3,1,17
3,2,15
3,3,14
3,4,14
3,5,11
3,6,11
3,7,17
3,8,27
3,9,28
3,10,41
3,11,40
3,12,51
3,13,39
3,14,42
3,15,41
3,16,43
3,17,39
3,18,45
3,19,43
3,20,46
3,21,47
3,22,29
3,23,40
3,24,14
4,1,29
4,2,13
4,3,13
4,4,11
4,5,12
4,6,9
4,7,17
4,8,33
4,9,29
4,10,33
4,11,40
4,12,51
4,13,36
4,14,47
4,15,37
4,16,43
4,17,43
4,18,49
4,19,55
4,20,32
4,21,40
4,22,31
4,23,26
4,24,26
5,1,29
5,2,16
5,3,11
5,4,9
5,5,12
5,6,14
5,7,20
5,8,19
5,9,32
5,10,33
5,11,36
5,12,48
5,13,59
5,14,39
5,15,47
5,16,44
5,17,38
5,18,47
5,19,36
5,20,51
5,21,33
5,22,42
5,23,33
5,24,32
6,1,21
6,2,28
6,3,14
6,4,11
6,5,14
6,6,14
6,7,18
6,8,17
6,9,25
6,10,27
6,11,30
6,12,39
6,13,34
6,14,35
6,15,34
6,16,33
6,17,38
6,18,52
6,19,52
6,20,26
6,21,27
6,22,35
6,23,30
6,24,28
7,1,20
7,2,34
7,3,23
7,4,17
7,5,10
7,6,13
7,7,13
7,8,17
7,9,13
7,10,10
7,11,13
7,12,39
7,13,31
7,14,33
7,15,32
7,16,46
7,17,57
7,18,37
7,19,42
7,20,43
7,21,34
7,22,46
7,23,35
7,24,34
