day,hour,value
1,1,6
1,2,14
1,3,6
1,4,4
1,5,1
1,6,5
1,7,11
1,8,9
1,9,15
1,10,15
1,11,11
1,12,17
1,13,14
1,14,15
1,15,19
1,16,22
1,17,15
1,18,9
1,19,18
1,20,11
1,21,11
1,22,9
1,23,8
1,24,10
2,1,9
2,2,1
2,3,4
2,4,4
2,5,4
2,6,4
2,7,8
2,8,20
2,9,25
2,10,16
2,11,18
2,12,14
2,13,15
2,14,11
2,15,15
2,16,17
2,17,26
2,18,19
2,19,13
2,20,15
2,21,15
2,22,16
2,23,9
2,24,6
3,1,7
3,2,7
3,3,2
3,4,2
3,5,4
3,6,6
3,7,10
3,8,18
3,9,16
3,10,13
3,11,10
3,12,20
3,13,18
3,14,14
3,15,14
3,16,14
3,17,21
3,18,19
3,19,19
3,20,21
3,21,9
3,22,14
3,23,7
3,24,16
4,1,7
4,2,9
4,3,11
4,4,6
4,5,3
4,6,7
4,7,7
4,8,13
4,9,13
4,10,22
4,11,17
4,12,14
4,13,16
4,14,17
4,15,14
4,16,17
4,17,16
4,18,20
4,19,24
4,20,18
4,21,16
4,22,15
4,23,8
4,24,15
5,1,6
5,2,2
5,3,4
5,4,3
5,5,7
5,6,4
5,7,5
5,8,15
5,9,12
5,10,20
5,11,18
5,12,14
5,13,14
5,14,19
5,15,29
5,16,20
5,17,17
5,18,18
5,19,24
5,20,15
5,21,9
5,22,11
5,23,7
5,24,6
6,1,11
6,2,13
6,3,5
6,4,2
6,5,6
6,6,7
6,7,3
6,8,8
6,9,4
6,10,9
6,11,7
6,12,14
6,13,14
6,14,12
6,15,12
6,16,11
6,17,25
6,18,24
6,19,20
6,20,11
6,21,13
6,22,17
6,23,12
6,24,12
7,1,9
7,2,8
7,3,7
7,4,4
7,5,5
7,6,4
7,7,3
7,8,2
7,9,5
7,10,5
7,11,7
7,12,8
7,13,15
7,14,13
7,15,9
7,16,16
7,17,18
7,18,21
7,19,15
7,20,8
7,21,8
7,22,12
7,23,12
7,24,2
