day,hour,value
1,1,123
1,2,118
1,3,82
1,4,58
1,5,56
1,6,55
1,7,109
1,8,137
1,9,150
1,10,184
1,11,206
1,12,205
1,13,194
1,14,201
1,15,183
1,16,252
1,17,213
1,18,218
1,19,215
1,20,191
1,21,174
1,22,146
1,23,158
1,24,124
2,1,94
2,2,69
2,3,81
2,4,72
2,5,57
2,6,70
2,7,109
2,8,130
2,9,186
2,10,155
2,11,185
2,12,168
2,13,199
2,14,210
2,15,214
2,16,228
2,17,242
2,18,243
2,19,228
2,20,196
2,21,178
2,22,167
2,23,140
2,24,137
3,1,93
3,2,94
3,3,85
3,4,56
3,5,54
3,6,48
3,7,95
3,8,144
3,9,165
3,10,172
3,11,190
3,12,207
3,13,217
3,14,219
3,15,198
3,16,209
3,17,216
3,18,209
3,19,229
3,20,246
3,21,163
3,22,158
3,23,146
3,24,111
4,1,119
4,2,75
4,3,88
4,4,71
4,5,51
4,6,65
4,7,112
4,8,146
4,9,158
4,10,171
4,11,193
4,12,231
4,13,200
4,14,217
4,15,182
4,16,221
4,17,236
4,18,231
4,19,235
4,20,190
4,21,194
4,22,163
4,23,140
4,24,140
5,1,144
5,2,103
5,3,96
5,4,64
5,5,67
5,6,62
5,7,103
5,8,122
5,9,170
5,10,184
5,11,205
5,12,180
5,13,212
5,14,211
5,15,250
5,16,237
5,17,238
5,18,251
5,19,211
5,20,226
5,21,191
5,22,209
5,23,191
5,24,163
6,1,168
6,2,139
6,3,111
6,4,83
6,5,98
6,6,76
6,7,82
6,8,87
6,9,107
6,10,125
6,11,142
6,12,171
6,13,196
6,14,166
6,15,218
6,16,199
6,17,200
6,18,209
6,19,236
6,20,187
6,21,180
6,22,190
6,23,175
6,24,193
7,1,125
7,2,176
7,3,158
7,4,97
7,5,83
7,6,67
7,7,92
7,8,91
7,9,88
7,10,107
7,11,109
7,12,160
7,13,171
7,14,187
7,15,162
7,16,176
7,17,201
7,18,204
7,19,193
7,20,174
7,21,197
7,22,185
7,23,205
7,24,158
